CSV,Dataset Write Time,Dataset Read Time
Trial 1,10.238050006591948,0.1390627257933374
Trial 2,10.19295029254863,0.1333861982857342
Trial 3,10.202069275692338,0.1335284359811339
Trial 4,10.19090387126198,0.1330151462752837
Trial 5,10.1950879652577,0.132921828480903
Average,10.203812282270519,0.13438286696327845
standard error,0.019595812317084904,0.002628201512093285
