HDF5,Dataset Write Time,Dataset Read Time
Trial 1,288.2367748898105,221.7748674811446
Trial 2,285.4723930686305,233.844567246706
Trial 3,277.0440345411771,221.3146173271525
Trial 4,285.2623348881025,220.40841609123163
Trial 5,273.9531063962204,220.30283941785456
Average,281.9937287567882,223.52906151281786
standard error,6.142304071529509,5.799516254640568
