netCDF4,Dataset Write Time,Dataset Read Time
Trial 1,5.139835953741567,7.499742700019851
Trial 2,5.0215170995215885,7.506401580030797
Trial 3,4.848383825446945,7.253603820572607
Trial 4,4.633712298527826,7.14688295556698
Trial 5,4.680648075009231,7.146565934817772
Average,4.864819450449431,7.310639398201602
standard error,0.21667254745228332,0.1810194890057939
