netCDF4,Dataset Write Time,Dataset Read Time
Trial 1,0.2343433188798371,0.5523079344129656
Trial 2,0.2194601729570422,0.5460494321596343
Trial 3,0.2152985580323729,0.5447591793199535
Trial 4,0.2143974634236656,0.5467603041324764
Trial 5,0.2165140103898011,0.5472456869028974
Average,0.22000270473654376,0.5474245073855855
standard error,0.008241150850663173,0.0028859923697354736
