HDF5,Dataset Write Time,Dataset Read Time
Trial 1,0.0931455469981301,0.2380067271587904
Trial 2,0.0900054292287677,0.2359595382586121
Trial 3,0.0893781216291245,0.2336627949262038
Trial 4,0.0895936609595082,0.2325677014596294
Trial 5,0.088582015450811,0.2332420226593967
Average,0.09014095485326831,0.23468775689252647
standard error,0.0017576744825479043,0.0022510176040667937
