netCDF4,Dataset Write Time,Dataset Read Time
Trial 1,10819.504132814473,12688.41286316092
Trial 2,10878.236392622057,12801.987836297483
Trial 3,10893.251802914165,12524.80612200452
Trial 4,10902.276909775535,12719.243667870614
Trial 5,10935.777340982895,12757.48250005563
Average,10885.809315821825,12698.386597877834
standard error,42.652966669006,105.93655720947547
