HDF5,Dataset Write Time,Dataset Read Time
Trial 1,0.1299374926020391,0.5993156373733655
Trial 2,0.0960796860454138,0.5981812355457805
Trial 3,0.0638859273749403,0.5692218546755612
Trial 4,0.0557562598260119,0.4320609259593766
Trial 5,0.067335942731006,0.4739453288493678
Average,0.08259906171588223,0.5345449964806903
standard error,0.030521854802685506,0.076848220158161
