netCDF4,Dataset Write Time,Dataset Read Time
Trial 1,0.2558000414865091,0.5693618295481429
Trial 2,0.2253325328638311,0.5619531038973946
Trial 3,0.2236579020973295,0.5628018625429831
Trial 4,0.2217282308265566,0.5586325460171793
Trial 5,0.2235021129308734,0.5621192176477052
Average,0.23000416404101992,0.562973711930681
standard error,0.01447665543992748,0.003919665216328269
