HDF5,Dataset Write Time,Dataset Read Time
Trial 1,3007.7691876576864,4228.080612840131
Trial 2,3020.996928891691,3881.6845389155783
Trial 3,2993.1810742491507,3983.5797882078623
Trial 4,3083.015189269645,3941.1651931332017
Trial 5,3189.299832240067,3900.766983966605
Average,3058.852442461648,3987.0554234126757
standard error,80.55375110015557,140.3209297427326
