Zarr,Dataset Write Time,Dataset Read Time
Trial 1,5360.615854897333,8166.8676372974
Trial 2,5398.815199179808,9269.577415543608
Trial 3,5357.624667918572,8717.70136478517
Trial 4,5355.882961466705,8430.666171207122
Trial 5,5313.626623599703,8720.061167954555
Average,5357.313061412424,8660.974751357571
standard error,30.182706212751338,410.5758755721548
