HDF5,Dataset Write Time,Dataset Read Time
Trial 1,3.021231008460745,1.1969350853178184
Trial 2,2.7354865524102934,1.297180431720335
Trial 3,2.7324521470291074,1.1788431074819528
Trial 4,2.730617950874148,1.1484785973152611
Trial 5,2.7302491580485366,1.1414794753363822
Average,2.790007363364566,1.19258333943435
standard error,0.12927455397780974,0.06266002829587161
