Zarr,Dataset Write Time,Dataset Read Time
Trial 1,0.159045110194711,0.292635628284188
Trial 2,0.1559279335197061,0.2859150918084197
Trial 3,0.1547104257042519,0.2869152158382348
Trial 4,0.1542201498523354,0.2844884620571974
Trial 5,0.154537869093474,0.2827245371008757
Average,0.15568829767289566,0.28653578701778315
standard error,0.0019849932727919986,0.0037568090739155202
