Zarr,Dataset Write Time,Dataset Read Time
Trial 1,776.9937523080443,390.8094354192144
Trial 2,749.3345651928394,401.7412597349903
Trial 3,732.100174343941,415.6553553293634
Trial 4,744.8542468482628,349.14508548536105
Trial 5,765.0100021419348,358.0944285349688
Average,753.6585481670045,383.0891129007796
standard error,17.566753342720865,28.48243911147749
