Zarr,Dataset Write Time,Dataset Read Time
Trial 1,6.056133774336558,2.39474061220335
Trial 2,6.051039007502368,2.4725290213609696
Trial 3,6.083207443225547,2.338475602869039
Trial 4,6.0577585230703335,2.296969567623819
Trial 5,6.079202972273379,2.297377985655657
Average,6.067801986517907,2.3513380443773713
