Trial 1,2.8973777631335906,14.136435154341598,HDF5,Dataset Write Time,Dataset Read Time
Trial 2,2.795070417221268,1.292728760518003,,,
Trial 3,2.8474946598180395,1.177375642384959,,,
Trial 4,2.8378996899505182,1.165264969756663,,,
Trial 5,2.82112373020027,1.1244777203387455,,,
,,,Average,2.825397124297524,1.1899617732495926
