Trial 1,4.271187102006024,9.303339596158366,netCDF4,Dataset Write Time,Dataset Read Time
Trial 2,4.660350943737512,9.33296571471942,,,
Trial 3,4.577393322961143,9.397020083071084,,,
Trial 4,4.5792233438533,9.34314918168866,,,
Trial 5,4.666981767371681,9.367912226792896,,,
,,,Average,4.620987344480909,9.360261801568015
