HDF5,Dataset Write Time,Dataset Read Time
Trial 1,2.7835370243565194,1.1347821248364198 
Trial 2,2.6537686793517423,1.2500123533527585
Trial 3,2.654118708733222,1.1233127178229552
Trial 4,2.6256901961687618,1.0594144025617425
Trial 5,2.62403156068558,1.0516906668271986
Average,2.6394022862348265,1.1211075351411637
