Trial 1,0.10765100122966942,0.4735110967288847,HDF5,Dataset Write Time,Dataset Read Time
Trial 2,0.1078858079495148,0.4314529779634313,,,
Trial 3,0.1077231510748788,0.4289339655230151,,,
Trial 4,0.1079540341777374,0.4277134097350199,,,
Trial 5,0.1078543377701635,0.4284355849080157,,,
,,,Average,0.10785433274307363,0.4291339845323705
