Trial 1,14.040577980836133,17.9104366940237,netCDF4,Dataset Write Time,Dataset Read Time
Trial 2,14.234649448155778,18.492128439618227,,,
Trial 3,14.26983189924158,17.932799805691957,,,
Trial 4,14.25716230363605,17.888790675215205,,,
Trial 5,14.209260918107702,17.964613733226997,,,
,,,Average,14.242726142285278,18.069583163438097
