CSV,Dataset Write Time,Dataset Read Time
Trial 1,2577.1207366132103,0.28735104149291146
Trial 2,2573.006812964877,0.2882987839711859
Trial 3,2573.78920319502,0.2881170635191665
Trial 4,2574.584117971653,0.2884101420477236
Trial 5,2572.651633021451,0.2884774739868589
Average,2573.5079417882503,0.28832586588123377
