Trial 1,6.267236872531612,2.5163680753053086,Zarr,Dataset Write Time,Dataset Read Time
Trial 2,6.184515396398638,2.5801217418006672,,,
Trial 3,6.261540488878836,2.466209056592561,,,
Trial 4,6.333646756161215,2.4385167214404646,,,
Trial 5,6.321400854290005,2.4382182462545643,,,
,,,Average,6.2752758739321735,2.4807664415220643
