Zarr,Dataset Write Time,Dataset Read Time
Trial 1,6.440801414782982,2.860138132064094
Trial 2,6.432924851196731,2.9378235426520405
Trial 3,6.424608926977271,2.814008951418145
Trial 4,6.432634659063297,2.7870708139516864
Trial 5,6.41968162028661,2.785969244541775
Average,6.427462514380977,2.831218138140912
