netCDF4,Dataset Write Time,Dataset Read Time
Trial 1,16.861881497789,20.68212215863241
Trial 2,17.181038705984975,18.394327235228047
Trial 3,17.24640041902603,17.941109640787545
Trial 4,17.342340927825717,17.75497204812382
Trial 5,16.97938163829349,17.863079070480126
Average,17.187290422782553,17.988371998654884
